freq,unit,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 
A,PC_HH,AL	: 	82.79 	85.45 	87.15 	90.87 
A,PC_HH,AT	88.38 	87.69 	89.33 	89.29 	91.01 
A,PC_HH,AT1	88.55 	87.61 	90.95 	90.92 	91.64 
A,PC_HH,AT11	85.05 	88.81 	87.01 	86.45 	90.70 
A,PC_HH,AT12	88.86 	84.54 	91.01 	90.40 	90.70 
A,PC_HH,AT13	88.77 	89.81 	91.43 	91.94 	92.49 
A,PC_HH,AT2	88.26 	85.98 	85.30 	85.29 	89.58 
A,PC_HH,AT21	84.75 	84.38 	87.09 	84.95 	89.48 
A,PC_HH,AT22	89.88 	86.71 	84.49 	85.44 	89.63 
A,PC_HH,AT3	88.24 	88.77 	89.61 	89.52 	91.03 
A,PC_HH,AT31	88.22 	88.67 	88.08 	89.38 	91.05 
A,PC_HH,AT32	87.58 	89.07 	89.05 	87.50 	91.99 
A,PC_HH,AT33	89.32 	87.73 	92.95 	90.03 	88.93 
A,PC_HH,AT34	87.10 	90.77 	89.67 	91.93 	93.63 
A,PC_HH,BA	: 	69.15 	72.03 	72.84 	75.49 
A,PC_HH,BE	84.25 	83.73 	87.57 	90.86 	92.30 
A,PC_HH,BE1	84.15 	83.73 	87.31 	89.52 	92.53 
A,PC_HH,BE10	84.15 	83.73 	87.31 	89.52 	92.53 
A,PC_HH,BE2	85.76 	85.10 	89.28 	92.03 	93.73 
A,PC_HH,BE21	86.21 	85.63 	89.81 	90.75 	92.79 
A,PC_HH,BE22	87.49 	84.16 	89.71 	91.83 	93.09 
A,PC_HH,BE23	83.42 	83.98 	86.22 	93.22 	92.75 
A,PC_HH,BE24	86.97 	86.86 	92.89 	94.21 	96.83 
A,PC_HH,BE25	85.66 	84.77 	88.71 	90.63 	93.95 
A,PC_HH,BE3	81.66 	81.31 	84.70 	89.31 	89.74 
A,PC_HH,BE31	88.29 	86.80 	90.23 	95.91 	95.53 
A,PC_HH,BE32	78.21 	79.01 	80.43 	87.10 	88.20 
A,PC_HH,BE33	83.01 	83.14 	87.40 	92.01 	91.67 
A,PC_HH,BE34	83.29 	81.75 	88.85 	86.66 	89.25 
A,PC_HH,BE35	82.04 	78.91 	83.74 	85.61 	86.22 
A,PC_HH,BG	66.90 	71.49 	74.94 	78.61 	83.53 
A,PC_HH,BG3	63.73 	69.08 	73.24 	74.21 	81.08 
A,PC_HH,BG31	56.80 	64.85 	70.80 	65.98 	73.50 
A,PC_HH,BG32	67.32 	67.11 	73.17 	74.76 	82.67 
A,PC_HH,BG33	68.43 	73.89 	73.72 	77.70 	85.23 
A,PC_HH,BG34	61.83 	69.60 	74.73 	76.86 	81.73 
A,PC_HH,BG4	70.09 	73.92 	76.66 	83.01 	85.97 
A,PC_HH,BG41	70.07 	74.86 	77.72 	85.64 	86.23 
A,PC_HH,BG42	70.12 	72.38 	74.90 	78.68 	85.53 
A,PC_HH,CH	89.64 b	: 	95.30 	: 	98.07 
A,PC_HH,CH0	89.64 b	: 	95.30 	: 	98.07 
A,PC_HH,CH01	88.65 b	: 	96.48 	: 	98.65 
A,PC_HH,CH02	89.30 b	: 	92.81 	: 	97.08 
A,PC_HH,CH03	90.29 b	: 	96.76 	: 	96.73 
A,PC_HH,CH04	91.40 b	: 	95.75 	: 	99.51 
A,PC_HH,CH05	90.13 b	: 	95.93 	: 	98.29 
A,PC_HH,CH06	89.81 b	: 	96.23 	: 	97.85 
A,PC_HH,CH07	84.47 b	: 	92.47 	: 	98.66 
A,PC_HH,CY	79.03 	85.65 	89.44 	92.49 	93.41 
A,PC_HH,CY0	79.03 	85.65 	89.44 	92.49 	93.41 
A,PC_HH,CY00	79.03 	85.65 	89.44 	92.49 	93.41 
A,PC_HH,CZ	82.88 	85.77 	87.00 	88.02 b	89.31 
A,PC_HH,CZ0	82.88 	85.77 	87.00 	88.02 b	89.31 
A,PC_HH,CZ01	89.31 	93.17 	93.23 	94.74 b	94.16 
A,PC_HH,CZ02	86.68 	86.66 	87.86 	87.79 b	89.31 
A,PC_HH,CZ03	82.34 	85.93 	86.42 	87.68 b	92.22 
A,PC_HH,CZ04	78.19 	81.66 	79.30 	82.28 b	86.03 
A,PC_HH,CZ05	79.75 	81.73 	86.36 	86.88 b	87.32 
A,PC_HH,CZ06	83.36 	86.83 	87.93 	90.08 b	88.11 
A,PC_HH,CZ07	81.28 	82.59 	84.02 	88.11 b	87.94 
A,PC_HH,CZ08	80.89 	86.58 	89.54 	85.67 b	88.80 
A,PC_HH,DE	91.60 	90.25 	93.93 	94.83 	88.84 b
A,PC_HH,DE1	91.76 	91.97 	94.30 	94.42 	87.89 b
A,PC_HH,DE2	91.29 	88.70 	94.27 	95.13 	89.69 b
A,PC_HH,DE3	94.75 	94.69 	95.41 	95.85 	91.08 b
A,PC_HH,DE4	81.58 	85.84 	85.58 	91.07 	85.11 b
A,PC_HH,DE5	93.52 	89.68 	97.96 	94.94 	77.27 b
A,PC_HH,DE6	96.06 	87.56 	96.04 	95.42 	92.20 b
A,PC_HH,DE7	93.01 	85.79 	94.23 	95.68 	91.63 b
A,PC_HH,DE8	85.31 	88.73 	89.47 	94.92 	80.09 b
A,PC_HH,DE9	94.90 	92.09 	95.19 	96.81 	86.79 b
A,PC_HH,DEA	92.57 	91.39 	94.32 	94.16 	91.01 b
A,PC_HH,DEB	92.58 	91.69 	93.39 	95.47 	91.21 b
A,PC_HH,DEC	87.30 	90.27 	95.18 	95.53 	81.35 b
A,PC_HH,DED	86.20 	86.59 	89.89 	92.82 	89.17 b
A,PC_HH,DEE	90.54 	90.37 	94.16 	96.51 	79.34 b
A,PC_HH,DEF	88.28 	89.71 	95.78 	94.20 	90.44 b
A,PC_HH,DEG	91.41 	93.94 	93.86 	94.30 	86.36 b
A,PC_HH,DK	92.10 	90.30 	92.53 	92.50 	92.47 
A,PC_HH,DK0	92.10 	90.30 	92.53 	92.50 	92.47 
A,PC_HH,DK01	93.10 	90.97 	93.17 	92.82 	94.48 
A,PC_HH,DK02	89.06 	88.85 	90.14 	91.84 	91.25 
A,PC_HH,DK03	92.34 	88.18 	92.47 	93.77 	90.47 
A,PC_HH,DK04	92.20 	92.00 	93.44 	92.68 	93.39 
A,PC_HH,DK05	92.21 	90.88 	91.90 	89.50 	89.41 
A,PC_HH,EE	87.36 	89.29 	90.00 	89.11 	90.87 
A,PC_HH,EE0	87.36 	89.29 	90.00 	89.11 	90.87 
A,PC_HH,EE00	87.36 	89.29 	90.00 	89.11 	90.87 
A,PC_HH,EL	70.64 	76.13 	78.06 	79.96 	84.98 
A,PC_HH,EL3	80.41 	85.21 	83.07 	83.45 	90.75 
A,PC_HH,EL4	69.03 	68.91 	68.07 	78.39 	82.50 
A,PC_HH,EL5	64.90 	72.91 	78.43 	81.45 	81.18 
A,PC_HH,EL6	63.45 	69.69 	74.88 	73.81 	81.96 
A,PC_HH,ES	82.68 	86.12 	91.17 	95.28 	95.91 
A,PC_HH,ES1	79.55 	82.89 	89.16 	92.57 	93.70 
A,PC_HH,ES11	78.41 	82.11 	88.15 	92.02 	93.16 
A,PC_HH,ES12	80.75 	85.10 	90.78 	93.24 	94.31 
A,PC_HH,ES13	82.40 	82.38 	90.81 	93.87 	95.01 
A,PC_HH,ES2	85.34 	88.02 	91.81 	95.64 	95.81 
A,PC_HH,ES21	86.31 	89.00 	91.43 	95.46 	95.53 
A,PC_HH,ES22	87.69 	86.63 	94.48 	96.49 	96.19 
A,PC_HH,ES23	80.06 	82.24 	90.00 	93.63 	94.95 
A,PC_HH,ES24	83.85 	88.43 	91.62 	96.00 	96.30 
A,PC_HH,ES3	88.54 	91.42 	94.45 	97.07 	97.54 
A,PC_HH,ES30	88.54 	91.42 	94.45 	97.07 	97.54 
A,PC_HH,ES4	78.94 	80.94 	88.02 	93.71 	94.97 
A,PC_HH,ES41	78.23 	82.15 	88.59 	93.89 	95.60 
