"","b","se"
"AT",".0748056",".0009237"
"BE",".0754591",".0018327"
"CY","-.129235",".0012099"
"CZ","-.0635664",".0014242"
"DE","0","."
"DK",".132328",".0011397"
"EE",".0249057",".0017304"
"EL","-.1284608",".0015071"
"ES","-.0706458",".0011656"
"FI",".1581379",".0021009"
"FR",".0704848",".0014371"
"HR","-.0721291",".0016644"
"HU","-.0811365",".0009101"
"IE",".0645989",".0015302"
"IT","-.085099",".0007105"
"LT","-.1320677",".0012278"
"LU",".1460331",".0033611"
"LV","-.1197127",".0026204"
"NL",".2082791",".0013404"
"PL","-.0495527",".0008798"
"PT",".0129849",".0015704"
"RO","-.1260385",".0007752"
"SE",".1722306",".0010172"
"SK","-.0571643",".0010522"
