	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.164***	0.182***	0.319***	0.392***	0.267***
Social interaction	0.197***	0.198***	0.169***	0.114***	0.168***
Constant	-0.0189***	-0.0174***	0.00462**	0.0362***	0.00156*
R-squared	0.063	0.069	0.132	0.168	0.105
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
R-squared	0.151	0.159	0.226	0.273	0.195
Observations	1485627	1426700	1164776	1036984	5114087
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.117***	0.131***	0.247***	0.313***	0.204***
Social interaction	0.154***	0.152***	0.0882***	0.0249***	0.102***
yw	-0.0963***	-0.0969***	-0.0889***	-0.0745***	-0.0894***
pw	-0.0500***	-0.0497***	-0.0480***	-0.0496***	-0.0492***
ow	-0.0324***	-0.0343***	-0.0405***	-0.0399***	-0.0355***
ym	-0.0510***	-0.0491***	-0.0398***	-0.0351***	-0.0434***
om	0.0171***	0.0165***	0.00821***	0.00793***	0.0133***
lowed	-0.0135***	-0.0133***	-0.0273***	-0.0368***	-0.0224***
highed	0.123***	0.131***	0.177***	0.192***	0.158***
nonnat	-0.00126	-0.00132	0.00459*	0.00777***	0.00327***
Constant	0.00621***	0.00755***	0.0383***	0.0709***	0.0309***
R-squared	0.096	0.104	0.175	0.213	0.144
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.127***	0.141***	0.255***	0.320***	0.213***
Social interaction	0.120***	0.116***	0.0619***	-0.000749	0.0716***
yw	-0.0673***	-0.0657***	-0.0645***	-0.0506***	-0.0621***
pw	-0.0362***	-0.0359***	-0.0365***	-0.0398***	-0.0369***
ow	-0.0276***	-0.0292***	-0.0351***	-0.0367***	-0.0308***
ym	-0.0285***	-0.0258***	-0.0222***	-0.0170***	-0.0229***
om	-0.00262	-0.00328*	-0.00640**	-0.00644***	-0.00380***
lowed	-0.0233***	-0.0221***	-0.0343***	-0.0412***	-0.0298***
highed	0.119***	0.126***	0.174***	0.189***	0.154***
nonnat	0.00549***	0.00537***	0.0107***	0.0130***	0.00952***
pt	0.0214***	0.0211***	0.0124***	0.0171***	0.0177***
self	0.234***	0.239***	0.185***	0.173***	0.208***
temporary	-0.00577***	-0.00941***	-0.00838***	-0.0177***	-0.0111***
Constant	-0.0198***	-0.0180***	0.0177***	0.0531***	0.00854***
R-squared	0.151	0.158	0.200	0.232	0.178
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.126***	0.140***	0.252***	0.315***	0.210***
Social interaction	0.119***	0.115***	0.0586***	-0.00528	0.0693***
yw	-0.0675***	-0.0660***	-0.0650***	-0.0509***	-0.0625***
pw	-0.0361***	-0.0357***	-0.0355***	-0.0383***	-0.0362***
ow	-0.0274***	-0.0289***	-0.0342***	-0.0355***	-0.0301***
ym	-0.0287***	-0.0260***	-0.0227***	-0.0174***	-0.0233***
om	-0.00234	-0.00293*	-0.00561**	-0.00550**	-0.00318***
lowed	-0.0232***	-0.0221***	-0.0345***	-0.0419***	-0.0300***
highed	0.117***	0.124***	0.170***	0.184***	0.151***
nonnat	0.00440**	0.00408**	0.00548*	0.00637**	0.00587***
pt	0.0214***	0.0211***	0.0119***	0.0165***	0.0175***
self	0.234***	0.240***	0.187***	0.174***	0.208***
temporary	-0.00616***	-0.00978***	-0.00893***	-0.0188***	-0.0118***
Cities	0	0	0	0	0
Towns and suburbs	-0.0148***	-0.0155***	-0.0306***	-0.0411***	-0.0259***
Rural areas	-0.00598***	-0.00724***	-0.0293***	-0.0392***	-0.0210***
Constant	-0.0121***	-0.00970***	0.0402***	0.0834***	0.0262***
R-squared	0.151	0.159	0.201	0.234	0.179
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.117***	0.131***	0.239***	0.294***	0.197***
Social interaction	0.104***	0.0995***	0.0384***	-0.0280***	0.0506***
yw	-0.0804***	-0.0800***	-0.0767***	-0.0679***	-0.0763***
pw	-0.0268***	-0.0262***	-0.0254***	-0.0239***	-0.0253***
ow	-0.0245***	-0.0252***	-0.0293***	-0.0293***	-0.0256***
ym	-0.0455***	-0.0437***	-0.0382***	-0.0385***	-0.0411***
om	-0.00716***	-0.00745***	-0.0107***	-0.0131***	-0.00856***
lowed	-0.0107***	-0.0106***	-0.0309***	-0.0386***	-0.0221***
highed	0.107***	0.111***	0.159***	0.175***	0.140***
nonnat	-0.00851***	-0.00993***	-0.0150***	-0.0223***	-0.0132***
pt	-0.0147***	-0.0173***	-0.0272***	-0.0354***	-0.0242***
self	0.252***	0.256***	0.201***	0.189***	0.224***
temporary	-0.00265	-0.00610***	-0.00473*	-0.0174***	-0.00754***
Cities	0	0	0	0	0
Towns and suburbs	-0.0113***	-0.0100***	-0.0293***	-0.0395***	-0.0230***
Rural areas	-0.0120***	-0.0131***	-0.0339***	-0.0455***	-0.0270***
AT	0	0	0	0	0
BE	-0.0148***	-0.000138	0.00113	0.0566***	0.0112***
CY	-0.217***	-0.215***	-0.251***	-0.203***	-0.220***
CZ	-0.125***	-0.120***	-0.159***	-0.145***	-0.136***
DE	-0.0940***	-0.0880***	-0.0837***	-0.0373***	-0.0758***
DK	0.0621***	0.0669***	0.0557***	0.0693***	0.0635***
EE	-0.0302***	-0.0334***	-0.0778***	-0.0534***	-0.0488***
EL	-0.224***	-0.224***	-0.232***	-0.184***	-0.215***
ES	-0.164***	-0.157***	-0.165***	-0.159***	-0.161***
FI	0.0705***	0.0793***	0.0697***	0.104***	0.0803***
FR	-0.0191***	-0.00517	-0.0277***	0.0160***	-0.00721***
HR	-0.144***	-0.143***	-0.169***	-0.137***	-0.149***
HU	-0.141***	-0.160***	-0.166***	-0.147***	-0.153***
IE	-0.0452***	-0.0430***	-0.00974***	0.0655***	-0.00602***
IT	-0.186***	-0.190***	-0.156***	-0.134***	-0.167***
LT	-0.187***	-0.195***	-0.245***	-0.193***	-0.206***
LU	0.0637***	0.0735***	0.127***	0.0865***	0.0890***
LV	-0.174***	-0.182***	-0.252***	-0.186***	-0.199***
NL	0.117***	0.126***	0.0686***	0.211***	0.133***
PL	-0.101***	-0.102***	-0.135***	-0.158***	-0.124***
PT	-0.0728***	-0.0693***	-0.0673***	-0.0392***	-0.0603***
RO	-0.203***	-0.198***	-0.230***	-0.184***	-0.203***
SE	0.122***	0.142***	0.0162***	0.143***	0.106***
SK	-0.119***	-0.121***	-0.164***	-0.134***	-0.133***
Constant	0.0950***	0.0940***	0.162***	0.176***	0.132***
R-squared	0.212	0.223	0.237	0.289	0.229
Observations	1477097	1418697	1157692	1031211	5084697
