	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.0657***	0.0723***	0.181***	0.222***	0.137***
Social interaction	0.0874***	0.0891***	0.0763***	0.0257***	0.0685***
Constant	-0.00562***	-0.00562***	0.00773***	0.0312***	0.00727***
R-squared	0.040	0.044	0.110	0.143	0.081
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
R-squared	0.117	0.123	0.194	0.247	0.159
Observations	1485627	1426700	1164776	1036984	5114087
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.0464***	0.0521***	0.142***	0.180***	0.107***
Social interaction	0.0695***	0.0703***	0.0306***	-0.0234***	0.0349***
yw	-0.0414***	-0.0417***	-0.0424***	-0.0325***	-0.0397***
pw	-0.0169***	-0.0169***	-0.0206***	-0.0211***	-0.0188***
ow	-0.00289***	-0.00394***	-0.0127***	-0.0155***	-0.00786***
ym	-0.0225***	-0.0215***	-0.0176***	-0.0132***	-0.0185***
om	0.0151***	0.0148***	0.00839***	0.00558***	0.0116***
lowed	-0.00560***	-0.00498***	-0.0142***	-0.0208***	-0.0112***
highed	0.0490***	0.0512***	0.0950***	0.102***	0.0758***
nonnat	0.000204	-0.000449	0.00580***	0.0166***	0.00612***
Constant	0.00169*	0.00145	0.0225***	0.0458***	0.0180***
R-squared	0.061	0.066	0.142	0.177	0.108
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.0525***	0.0581***	0.147***	0.184***	0.112***
Social interaction	0.0489***	0.0487***	0.0149***	-0.0382***	0.0168***
yw	-0.0265***	-0.0259***	-0.0300***	-0.0214***	-0.0260***
pw	-0.00976***	-0.00987***	-0.0145***	-0.0176***	-0.0128***
ow	-0.000863	-0.00194*	-0.0101***	-0.0160***	-0.00631***
ym	-0.0108***	-0.00943***	-0.00857***	-0.00416**	-0.00794***
om	0.00355***	0.00310***	-0.000172	-0.00253*	0.00161**
lowed	-0.0120***	-0.0109***	-0.0188***	-0.0235***	-0.0160***
highed	0.0465***	0.0484***	0.0929***	0.101***	0.0738***
nonnat	0.00377***	0.00301***	0.00906***	0.0190***	0.00931***
pt	0.0158***	0.0167***	0.00969***	0.0175***	0.0147***
self	0.138***	0.142***	0.109***	0.0927***	0.120***
temporary	0.00175*	0.000493	0.000474	-0.0103***	-0.00247***
Constant	-0.0142***	-0.0144***	0.00982***	0.0362***	0.00459***
R-squared	0.133	0.139	0.165	0.193	0.143
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.0524***	0.0580***	0.145***	0.181***	0.110***
Social interaction	0.0489***	0.0486***	0.0126***	-0.0413***	0.0153***
yw	-0.0266***	-0.0260***	-0.0303***	-0.0216***	-0.0262***
pw	-0.00975***	-0.00985***	-0.0139***	-0.0167***	-0.0124***
ow	-0.000821	-0.00188*	-0.00951***	-0.0152***	-0.00592***
ym	-0.0108***	-0.00951***	-0.00890***	-0.00438**	-0.00817***
om	0.00364***	0.00321***	0.000314	-0.00193	0.00195***
lowed	-0.0119***	-0.0109***	-0.0191***	-0.0240***	-0.0161***
highed	0.0461***	0.0480***	0.0903***	0.0976***	0.0721***
nonnat	0.00356***	0.00279***	0.00548***	0.0145***	0.00713***
pt	0.0159***	0.0167***	0.00931***	0.0170***	0.0146***
self	0.138***	0.142***	0.110***	0.0939***	0.121***
temporary	0.00162*	0.000381	0.000126	-0.0110***	-0.00283***
Cities	0	0	0	0	0
Towns and suburbs	-0.00508***	-0.00543***	-0.0182***	-0.0256***	-0.0139***
Rural areas	-0.00103	-0.00107	-0.0204***	-0.0267***	-0.0127***
Constant	-0.0120***	-0.0121***	0.0244***	0.0560***	0.0146***
R-squared	0.133	0.139	0.166	0.195	0.144
Observations	1477097	1418697	1157692	1031211	5084697
	(1)	(2)	(3)	(4)	(5)
Physical interaction	0.0483***	0.0539***	0.137***	0.169***	0.104***
Social interaction	0.0424***	0.0421***	0.00160	-0.0554***	0.00565***
yw	-0.0316***	-0.0313***	-0.0347***	-0.0303***	-0.0320***
pw	-0.00560***	-0.00571***	-0.00895***	-0.00853***	-0.00710***
ow	0.000463	-0.000386	-0.00757***	-0.0123***	-0.00405***
ym	-0.0176***	-0.0165***	-0.0152***	-0.0156***	-0.0160***
om	0.00135	0.00104	-0.00273*	-0.00682***	-0.00112*
lowed	-0.00810***	-0.00768***	-0.0211***	-0.0219***	-0.0142***
highed	0.0421***	0.0428***	0.0865***	0.0931***	0.0677***
nonnat	-0.00222**	-0.00346***	-0.00614***	-0.00530***	-0.00368***
pt	-0.000347	-0.0000934	-0.00907***	-0.0110***	-0.00530***
self	0.145***	0.149***	0.117***	0.104***	0.128***
temporary	0.00317***	0.00182**	0.00206	-0.00757***	-0.000311
