	(1)	(2)	(3)	(4)	(5)
	Homeworking, binary	Homeworking, binary	Homeworking, binary	Homeworking, binary	Homeworking, binary
TWY: physical	0.153***	0.0928***	0.0996***	0.0942***	
TWY: social	0.173***	0.115***	0.0836***	0.0796***	
YEAR=2018	0	0	0	0	0
YEAR=2019	0.00154	0.000995	0.00173	0.000201	0.00622***
YEAR=2020	0.0249***	0.0234***	0.0230***	0.0205***	0.0636***
YEAR=2021	0.0538***	0.0503***	0.0504***	0.0476***	0.0964***
YEAR=2018 # TWY: physical	0	0	0	0	
YEAR=2019 # TWY: physical	0.0170***	0.0163***	0.0156***	0.0157***	
YEAR=2020 # TWY: physical	0.153***	0.153***	0.153***	0.153***	
YEAR=2021 # TWY: physical	0.225***	0.224***	0.224***	0.224***	
YEAR=2018 # TWY: social	0	0	0	0	
YEAR=2019 # TWY: social	0.00115	0.000880	-0.0000276	0.000440	
YEAR=2020 # TWY: social	-0.0298***	-0.0325***	-0.0316***	-0.0310***	
YEAR=2021 # TWY: social	-0.0804***	-0.0792***	-0.0780***	-0.0770***	
yw		-0.111***	-0.0748***	-0.0752***	-0.0570***
pw		-0.0489***	-0.0250***	-0.0238***	0.00370***
ow		-0.0426***	-0.0263***	-0.0251***	0.00451***
ym		-0.0638***	-0.0407***	-0.0414***	-0.0454***
om		0.00734***	-0.0101***	-0.00949***	-0.00710***
lowed		-0.0180***	-0.0220***	-0.0215***	-0.0515***
highed		0.147***	0.141***	0.137***	0.201***
nonnat		-0.0142***	-0.00914***	-0.0167***	-0.0430***
Full- or part-time work			-0.0233***	-0.0234***	-0.0316***
Self-employed			0.225***	0.227***	0.222***
Employee			0	0	0
temporary			-0.00683***	-0.00609***	-0.0127***
Region of residence			0	0	0
Other region in country of residence			0.0519***	0.0566***	0.0655***
Other country			0.0108***	0.0174***	0.0116***
Not stated			-0.0623***	-0.0618***	-0.0741***
Cities				0	0
Towns and suburbs				-0.0175***	-0.0280***
Rural areas				-0.0189***	-0.0381***
capital				0.0366***	0.0519***
Regional broadband coverage				0.000474***	0.000324***
Constant	-0.0229***	0.0254***	0.0371***	0.0104	0.102***
R-squared	0.175	0.210	0.250	0.252	0.205
Observations	5084593	5084593	5083291	5083291	5095834
