Probability of person working from home, at least some of the time
	(1)	(2)	(3)	(4)
	2018	2019	2020	2021
TWY: physical	0.154***	0.171***	0.307***	0.374***
TWY: social	0.176***	0.176***	0.146***	0.0877***
Constant	-0.0324***	-0.0301***	0.00363	0.0477***
R-squared	0.119	0.130	0.168	0.221
Observations	1477077	1418679	1157673	1031164
	2018	2019	2020	2021
TWY: physical	0.110***	0.124***	0.236***	0.295***
TWY: social	0.141***	0.138***	0.0695***	0.00138
yw	-0.117***	-0.119***	-0.108***	-0.103***
pw	-0.0503***	-0.0503***	-0.0477***	-0.0477***
ow	-0.0383***	-0.0400***	-0.0453***	-0.0470***
ym	-0.0695***	-0.0688***	-0.0571***	-0.0605***
om	0.0131***	0.0127***	0.00352	0.000326
lowed	-0.00467***	-0.00533***	-0.0269***	-0.0374***
highed	0.114***	0.120***	0.168***	0.184***
nonnat	-0.0115***	-0.0126***	-0.0132***	-0.0188***
Constant	0.00337*	0.00669***	0.0583***	0.109***
R-squared	0.150	0.162	0.207	0.264
Observations	1477077	1418679	1157673	1031164
	2018	2019	2020	2021
TWY: physical	0.118***	0.132***	0.242***	0.299***
TWY: social	0.105***	0.101***	0.0426***	-0.0222***
yw	-0.0796***	-0.0791***	-0.0750***	-0.0660***
pw	-0.0263***	-0.0256***	-0.0249***	-0.0239***
ow	-0.0239***	-0.0246***	-0.0286***	-0.0292***
ym	-0.0449***	-0.0430***	-0.0371***	-0.0372***
om	-0.00744***	-0.00772***	-0.0115***	-0.0140***
lowed	-0.0107***	-0.0105***	-0.0308***	-0.0382***
highed	0.108***	0.112***	0.162***	0.179***
nonnat	-0.00594***	-0.00720***	-0.00850***	-0.0144***
Full- or part-time work	-0.0141***	-0.0166***	-0.0262***	-0.0347***
Self-employed	0.252***	0.257***	0.201***	0.189***
Employee	0	0	0	0
temporary	-0.00274*	-0.00632***	-0.00521*	-0.0180***
Region of residence	0	0	0	0
Other region in country of residence	0.0408***	0.0425***	0.0589***	0.0676***
Other country	-0.00378	0.00279	0.0189**	0.0246***
Not stated	-0.0850***	-0.0562***	-0.0649***	-0.0580***
Constant	0.00273	0.00956***	0.0750***	0.135***
R-squared	0.213	0.223	0.237	0.288
Observations	1476972	1418621	1157157	1030541
	2018	2019	2020	2021
TWY: physical	0.116***	0.129***	0.235***	0.289***
TWY: social	0.104***	0.0994***	0.0385***	-0.0276***
yw	-0.0798***	-0.0796***	-0.0758***	-0.0673***
pw	-0.0258***	-0.0251***	-0.0235***	-0.0219***
ow	-0.0233***	-0.0240***	-0.0272***	-0.0272***
ym	-0.0453***	-0.0436***	-0.0380***	-0.0388***
om	-0.00708***	-0.00738***	-0.0105***	-0.0131***
lowed	-0.0103***	-0.00994***	-0.0297***	-0.0377***
highed	0.106***	0.110***	0.157***	0.172***
nonnat	-0.00990***	-0.0120***	-0.0186***	-0.0284***
Full- or part-time work	-0.0141***	-0.0167***	-0.0263***	-0.0353***
Self-employed	0.253***	0.258***	0.204***	0.193***
Employee	0	0	0	0
temporary	-0.00211	-0.00559***	-0.00384	-0.0161***
Region of residence	0	0	0	0
Other region in country of residence	0.0431***	0.0463***	0.0649***	0.0772***
Other country	-0.000112	0.00659	0.0279***	0.0338***
Not stated	-0.0851***	-0.0561***	-0.0635***	-0.0546***
Cities	0	0	0	0
Towns and suburbs	-0.00826***	-0.00711***	-0.0231***	-0.0297***
Rural areas	-0.00774***	-0.00857***	-0.0249***	-0.0304***
capital	0.0175***	0.0143***	0.0328***	0.0447***
Regional broadband coverage	0.000912***	0.00181***	0.00272***	0.00493***
Constant	-0.0724***	-0.153***	-0.163***	-0.276***
R-squared	0.213	0.224	0.240	0.294
Observations	1476972	1418621	1157157	1030541
