	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.0658***	0.0724***	0.181***	0.222***	0.137***
(mean) socialinteraction	0.0876***	0.0894***	0.0766***	0.0257	0.0686***
Constant	-0.00566	-0.00570	0.00770	0.0312***	0.00726
R-squared	0.199	0.212	0.447	0.446	0.300
Observations	2948	2969	2957	2989	11863
	(1)	(2)	(3)	(4)	(5)
R-squared	0.585	0.587	0.786	0.770	0.585
Observations	3015	3034	3022	3055	12126
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.0324***	0.0365***	0.118***	0.157***	0.0866***
(mean) socialinteraction	0.0545***	0.0546***	0.0107	-0.0348	0.0183
(mean) female	-0.0345***	-0.0365***	-0.0627***	-0.0832***	-0.0538***
(mean) lowed	-0.00682	-0.00820	-0.0578***	-0.134***	-0.0495***
(mean) highed	0.101***	0.105***	0.166***	0.164***	0.139***
(mean) nonnat	0.0546***	0.0461**	0.118***	0.253***	0.124***
Constant	-0.00107	0.000685	0.0276**	0.0534***	0.0194***
R-squared	0.312	0.325	0.600	0.599	0.425
Observations	2948	2969	2957	2989	11863
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.0326***	0.0364***	0.118***	0.155***	0.0862***
(mean) socialinteraction	0.0196	0.0169	-0.0193	-0.0705***	-0.0156
(mean) female	-0.0427**	-0.0469***	-0.0755***	-0.116***	-0.0685***
(mean) lowed	-0.0543***	-0.0572***	-0.103***	-0.167***	-0.0917***
(mean) highed	0.100***	0.105***	0.167***	0.176***	0.142***
(mean) nonnat	0.0508**	0.0413*	0.113***	0.202***	0.109***
(mean) pt	0.0829***	0.0919***	0.0829***	0.142***	0.0965***
(mean) self	0.121***	0.125***	0.0979***	0.0872***	0.107***
(mean) temporary	0.0149	0.0124	0.0276	0.00587	0.00941
Constant	-0.00673	-0.00429	0.0231*	0.0551***	0.0161**
R-squared	0.412	0.425	0.631	0.627	0.467
Observations	2948	2969	2957	2989	11863
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.0333***	0.0371***	0.117***	0.152***	0.0854***
(mean) socialinteraction	0.0200	0.0172	-0.0197	-0.0717***	-0.0159
(mean) female	-0.0428**	-0.0469***	-0.0751***	-0.115***	-0.0684***
(mean) lowed	-0.0535***	-0.0566***	-0.104***	-0.168***	-0.0922***
(mean) highed	0.104***	0.108***	0.164***	0.168***	0.139***
(mean) nonnat	0.0518**	0.0424*	0.111***	0.198***	0.108***
(mean) pt	0.0840***	0.0929***	0.0815***	0.140***	0.0955***
(mean) self	0.120***	0.124***	0.0989***	0.0888***	0.107***
(mean) temporary	0.0172	0.0145	0.0259	-0.000562	0.00755
(mean) city	-0.0117	-0.0111	0.0119	0.0316	0.0102
Constant	-0.00429	-0.00188	0.0203	0.0483***	0.0139*
R-squared	0.412	0.425	0.631	0.628	0.467
Observations	2948	2969	2957	2989	11863
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.0891***	0.101***	0.180***	0.224***	0.0749***
(mean) socialinteraction	0.0827**	0.0798**	-0.0250	-0.0957**	-0.0262*
(mean) female	-0.0365	-0.0463*	-0.0582*	-0.0717***	-0.0170*
(mean) lowed	0.0240	0.00954	-0.104**	-0.146***	-0.0558***
(mean) highed	0.231***	0.236***	0.286***	0.297***	0.118***
(mean) nonnat	0.176***	0.157**	0.107*	0.0932	0.0561**
(mean) pt	-0.0733*	-0.0603*	-0.0727*	-0.0799*	-0.0348**
(mean) self	0.231***	0.231***	0.205***	0.203***	0.132***
(mean) temporary	-0.0508	-0.0688	0.000785	-0.0169	0.0166
(mean) city	-0.00523	-0.0204	0.0782	0.144**	0.0594***
AT	0	0	0	0	0
BE	-0.0197	-0.000917	-0.00143	0.0527*	-0.00207
CY	-0.240***	-0.234***	-0.292***	-0.261***	-0.138***
CZ	-0.0866***	-0.0822***	-0.142***	-0.135***	-0.0674***
DE	-0.0776***	-0.0701***	-0.0708***	-0.0276	-0.0306***
DK	0.0766**	0.0832***	0.0683**	0.0819***	0.0193*
EE	-0.0233	-0.0246	-0.0870***	-0.0717***	-0.0386***
EL	-0.208***	-0.202***	-0.225***	-0.191***	-0.113***
ES	-0.166***	-0.148***	-0.175***	-0.177***	-0.0869***
FI	0.0879**	0.0980***	0.0645*	0.0928***	0.0398***
FR	-0.0101	0.00827	-0.0364	0.00245	-0.0225*
HR	-0.125***	-0.118***	-0.164***	-0.135***	-0.0891***
HU	-0.110***	-0.129***	-0.149***	-0.135***	-0.0807***
IE	-0.0680**	-0.0626**	-0.0365	0.0328	-0.00461
IT	-0.162***	-0.160***	-0.124***	-0.102***	-0.0641***
LT	-0.176***	-0.184***	-0.260***	-0.220***	-0.111***
LU	-0.0224	-0.00694	0.0836**	0.0482	0.0152
LV	-0.166***	-0.168***	-0.259***	-0.201***	-0.102***
NL	0.151***	0.161***	0.0788**	0.211***	0.0429***
PL	-0.0657**	-0.0655*	-0.131***	-0.160***	-0.0764***
PT	-0.0525	-0.0405	-0.0373	-0.0128	-0.0208
RO	-0.165***	-0.159***	-0.208***	-0.174***	-0.0973***
SE	0.120***	0.143***	0.00766	0.130***	0.00786
SK	-0.0831***	-0.0871***	-0.144***	-0.117***	-0.0643***
Constant	0.0381	0.0469*	0.121***	0.127***	0.0515***
R-squared	0.648	0.659	0.749	0.778	0.540
Observations	2948	2969	2957	2989	11863
