
	(1)	(2)	(3)	(4)	(5)

TWY: physical	0.153***	0.0378***	0.0477***	0.0451***	
	(0.00127)	(0.00141)	(0.00137)	(0.00137)	

TWY: social	0.173***	-0.0255***	-0.0378***	-0.0305***	
	(0.00254)	(0.00311)	(0.00303)	(0.00302)	

YEAR=2018	0	0	0	0	0
	(.)	(.)	(.)	(.)	(.)

YEAR=2019	0.00154	0.00135	0.00196	0.00618***	0.0127***
	(0.00168)	(0.00162)	(0.00156)	(0.00158)	(0.000716)

YEAR=2020	0.0249***	0.0268***	0.0261***	0.0339***	0.0733***
	(0.00198)	(0.00191)	(0.00186)	(0.00193)	(0.000977)

YEAR=2021	0.0538***	0.0533***	0.0533***	0.0629***	0.107***
	(0.00189)	(0.00183)	(0.00177)	(0.00189)	(0.000934)

YEAR=2018 # TWY: physical	0	0	0	0	
	(.)	(.)	(.)	(.)	

YEAR=2019 # TWY: physical	0.0170***	0.0155***	0.0150***	0.0148***	
	(0.00181)	(0.00175)	(0.00170)	(0.00170)	

YEAR=2020 # TWY: physical	0.153***	0.151***	0.152***	0.151***	
	(0.00221)	(0.00213)	(0.00209)	(0.00208)	

YEAR=2021 # TWY: physical	0.225***	0.222***	0.222***	0.221***	
	(0.00208)	(0.00201)	(0.00197)	(0.00197)	

YEAR=2018 # TWY: social	0	0	0	0	
	(.)	(.)	(.)	(.)	

YEAR=2019 # TWY: social	0.00115	0.000278	-0.000461	-0.000343	
	(0.00365)	(0.00356)	(0.00345)	(0.00345)	

YEAR=2020 # TWY: social	-0.0298***	-0.0407***	-0.0390***	-0.0395***	
	(0.00429)	(0.00417)	(0.00407)	(0.00407)	

YEAR=2021 # TWY: social	-0.0804***	-0.0867***	-0.0849***	-0.0865***	
	(0.00403)	(0.00393)	(0.00383)	(0.00384)	

AT	0.0873***	0.0776***	0.0748***		
	(0.000985)	(0.000947)	(0.000924)		

BE	0.120***	0.0945***	0.0755***		
	(0.00197)	(0.00188)	(0.00183)		

CY	-0.104***	-0.119***	-0.129***		
	(0.00117)	(0.00118)	(0.00121)		

CZ	-0.0326***	-0.0440***	-0.0636***		
	(0.00148)	(0.00148)	(0.00142)		

DE	0	0	0		
	(.)	(.)	(.)		

DK	0.146***	0.132***	0.132***		
	(0.00118)	(0.00115)	(0.00114)		

EE	0.0582***	0.0282***	0.0249***		
	(0.00181)	(0.00177)	(0.00173)		

EL	-0.0678***	-0.0872***	-0.128***		
	(0.00148)	(0.00146)	(0.00151)		

ES	-0.0389***	-0.0573***	-0.0706***		
	(0.00119)	(0.00119)	(0.00117)		

FI	0.192***	0.166***	0.158***		
	(0.00228)	(0.00217)	(0.00210)		

FR	0.0970***	0.0787***	0.0705***		
	(0.00155)	(0.00147)	(0.00144)		

HR	-0.0540***	-0.0651***	-0.0721***		
	(0.00170)	(0.00166)	(0.00166)		

HU	-0.0575***	-0.0690***	-0.0811***		
	(0.000907)	(0.000898)	(0.000910)		

IE	0.107***	0.0757***	0.0646***		
	(0.00160)	(0.00154)	(0.00153)		

IT	-0.0640***	-0.0603***	-0.0851***		
	(0.000705)	(0.000693)	(0.000711)		

LT	-0.0850***	-0.124***	-0.132***		
	(0.00121)	(0.00126)	(0.00123)		

LU	0.172***	0.145***	0.146***		
	(0.00352)	(0.00339)	(0.00336)		

LV	-0.0918***	-0.114***	-0.120***		
	(0.00261)	(0.00268)	(0.00262)		

NL	0.228***	0.215***	0.208***		
	(0.00141)	(0.00135)	(0.00134)		

PL	-0.00184*	-0.0299***	-0.0496***		
	(0.000883)	(0.000885)	(0.000880)		

PT	0.0351***	0.0257***	0.0130***		
	(0.00163)	(0.00156)	(0.00157)		

RO	-0.0931***	-0.111***	-0.126***		
	(0.000715)	(0.000756)	(0.000775)		

SE	0.199***	0.172***	0.172***		
	(0.00107)	(0.00104)	(0.00102)		

SK	-0.0310***	-0.0402***	-0.0572***		
	(0.00105)	(0.00105)	(0.00105)		

Young women		-0.0866***	-0.0607***	-0.0621***	-0.0676***
		(0.00122)	(0.00124)	(0.00123)	(0.00125)

Prime-age women		-0.0293***	-0.0146***	-0.0133***	-0.00940***
		(0.000882)	(0.000885)	(0.000884)	(0.000895)

Old women		-0.0244***	-0.0173***	-0.0157***	-0.0102***
		(0.000918)	(0.000924)	(0.000923)	(0.000932)

Young men		-0.0572***	-0.0368***	-0.0386***	-0.0403***
		(0.00103)	(0.00103)	(0.00103)	(0.00106)

Old men		0.00502***	-0.0110***	-0.0103***	-0.00964***
		(0.000837)	(0.000816)	(0.000815)	(0.000829)

lowed		-0.0168***	-0.0222***	-0.0231***	-0.0305***
		(0.000639)	(0.000624)	(0.000627)	(0.000634)

highed		0.0895***	0.0901***	0.0880***	0.102***
		(0.000863)	(0.000840)	(0.000839)	(0.000848)

nonnat		-0.0113***	-0.00883***	-0.0190***	-0.0289***
		(0.000917)	(0.000898)	(0.000919)	(0.000937)

White-collar high-skilled		0	0	0	0
		(.)	(.)	(.)	(.)

White-collar low/mid-skilled		-0.166***	-0.145***	-0.141***	-0.170***
		(0.00108)	(0.00107)	(0.00106)	(0.00101)

Blue-collar high-skilled		-0.155***	-0.164***	-0.155***	-0.223***
		(0.00159)	(0.00153)	(0.00153)	(0.00114)

Blue-collar low/mid-skilled		-0.224***	-0.184***	-0.176***	-0.238***
		(0.00164)	(0.00160)	(0.00159)	(0.00106)

Full- or part-time work			-0.0160***	-0.0168***	-0.0227***
			(0.000751)	(0.000751)	(0.000762)

Self-employed			0.212***	0.213***	0.204***
			(0.000997)	(0.00100)	(0.00101)

Employee			0	0	0
			(.)	(.)	(.)

temporary			-0.00716***	-0.00585***	-0.00826***
			(0.000840)	(0.000842)	(0.000858)

Region of residence			0	0	0
			(.)	(.)	(.)

Other region in country of residence			0.0486***	0.0579***	0.0617***
			(0.00148)	(0.00152)	(0.00155)

