Probability of person working from home, at least some of the time
	(1)	(2)	(3)	(4)
	2018	2019	2020	2021
TWY: physical	0.114***	0.127***	0.233***	0.287***
TWY: social	0.104***	0.100***	0.0395***	-0.0270***
Young women	-0.0805***	-0.0801***	-0.0771***	-0.0684***
Prime-age women	-0.0255***	-0.0246***	-0.0229***	-0.0215***
Old women	-0.0227***	-0.0233***	-0.0264***	-0.0264***
Young men	-0.0460***	-0.0443***	-0.0394***	-0.0399***
Old men	-0.00691***	-0.00724***	-0.0104***	-0.0128***
lowed	-0.0113***	-0.0110***	-0.0309***	-0.0395***
highed	0.105***	0.109***	0.157***	0.172***
nonnat	-0.0126***	-0.0147***	-0.0236***	-0.0317***
Full- or part-time work	-0.0146***	-0.0170***	-0.0275***	-0.0359***
Self-employed	0.254***	0.258***	0.204***	0.193***
Employee	0	0	0	0
temporary	-0.00196	-0.00537***	-0.00292	-0.0156***
Region of residence	0	0	0	0
Other region in country of residence	0.0479***	0.0541***	0.0687***	0.0809***
Other country	0.00125	0.00832	0.0263***	0.0346***
Not stated	-0.0855***	-0.0556***	-0.0625***	-0.0569***
Cities	0	0	0	0
Towns and suburbs	-0.00972***	-0.00878***	-0.0241***	-0.0287***
Rural areas	-0.00586***	-0.00772***	-0.0244***	-0.0277***
capital	0.450***	0.375***	0.525***	0.152***
Regional broadband coverage	-0.0264***	-0.0195***	-0.0452***	0.00664***
AT10_Ostösterreich	0	0	0	0
AT20_Südösterreich	0.380***	0.238***	0.231***	0.106***
AT30_Westösterreich	0.454***	0.326***	0.421***	0.0983***
BE10_Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest	-0.135***	-0.0853***	-0.0455**	0.0380***
BE21_Prov. Antwerpen	0.378***	0.367***	0.503***	0.178***
BE22_Prov. Limburg (BE)	0.319***	0.328***	0.526***	0.117***
BE23_Prov. Oost-Vlaanderen	0.323***	0.242***	0.589***	0.175***
BE24_Prov. Vlaams-Brabant	0.376***	0.419***	0.709***	0.176***
BE25_Prov. West-Vlaanderen	0.348***	0.335***	0.460***	0.127***
BE31_Prov. Brabant Wallon	0.468***	0.403***	0.814***	0.190***
BE32_Prov. Hainaut	0.143***	0.0723***	0.232***	0.128***
BE33_Prov. Liège	0.271***	0.243***	0.479***	0.0918***
BE34_Prov. Luxembourg (BE)	0.240***	0.247***	0.274***	0.137***
BE35_Prov. Namur	0.165***	0.203***	0.237***	0.195***
CY00_Cyprus	0.169***	0.120***	0.327***	-0.0878***
CZ01_Praha	0.00211	-0.103***	-0.0173	-0.186***
CZ02_Střední Čechy	0.253***	0.143***	0.173***	-0.0201*
CZ03_Jihozápad	0.243***	0.138***	0.187***	-0.0457***
CZ04_Severozápad	0.143***	0.0202**	-0.0557***	0.000207
CZ05_Severovýchod	0.168***	0.178***	0.173***	0.0132
CZ06_Jihovýchod	0.308***	0.194***	0.314***	-0.00502
CZ07_Střední Morava	0.166***	0.102***	0.220***	-0.00563
CZ08_Moravskoslezsko	0.302***	0.206***	0.0974***	-0.0319***
DE10_Baden-Württemberg	0.472***	0.356***	0.603***	0.124***
DE20_Bayern	0.385***	0.351***	0.625***	0.105***
DE30_Berlin	0.0762***	-0.0195*	0.118***	-0.0215*
DE40_Brandenburg	0.252***	0.1000***	0.339***	0.0554***
DE50_Bremen	0.377***	0.397***	0.566***	0.155***
DE60_Hamburg	0.356***	0.379***	0.657***	0.171***
DE70_Hessen	0.307***	0.362***	0.667***	0.113***
DE80_Mecklenburg-Vorpommern	0.335***	0.199***	0.516***	0.0849***
DE90_Niedersachsen	0.457***	0.351***	0.684***	0.105***
DEA0_Nordrhein-Westfalen	0.433***	0.334***	0.567***	0.0892***
DEB0_Rheinland-Pfalz	0.453***	0.319***	0.626***	0.0754***
DEC0_Saarland	0.395***	0.332***	0.619***	0.129***
DED0_Sachsen	0.275***	0.214***	0.421***	0.0237***
DEE0_Sachsen-Anhalt	0.363***	0.279***	0.586***	0.0479**
DEF0_Schleswig-Holstein	0.398***	0.371***	0.555***	0.0942***
DEG0_Thüringen	0.475***	0.294***	0.505***	0.0309***
DK01_Hovedstaden	0.166***	0.126***	0.158***	0.0577***
DK02_Sjælland	0.512***	0.384***	0.575***	0.173***
DK03_Syddanmark	0.496***	0.439***	0.652***	0.157***
DK04_Midtjylland	0.598***	0.470***	0.627***	0.165***
DK05_Nordjylland	0.554***	0.416***	0.449***	0.151***
EE00_Estonia	0.450***	0.311***	0.344***	0.0725***
EL30_Attica	-0.284***	-0.372***	-0.566***	-0.181***
EL41_North Aegean	-0.326***	-0.362***	-0.337***	-0.0532*
EL42_South Aegean	-0.265***	-0.293***	-0.272***	0.107**
EL43_Crete	-0.290***	-0.317***	-0.318***	0.00602
EL51_Eastern Macedonia and Thrace	-0.209***	-0.132***	-0.182***	-0.0110
EL52_Central Macedonia	-0.147***	-0.0727***	-0.144***	0.0145
EL53_Western Macedonia	-0.214***	-0.150***	-0.174***	-0.0733**
EL54_Epirus	-0.239***	-0.168***	-0.203***	-0.0346
EL61_Thessaly	-0.321***	-0.232***	-0.569***	-0.0607**
EL62_Ionian Islands	-0.265***	-0.171***	-0.537***	-0.0472
EL63_Western Greece	-0.278***	-0.195***	-0.489***	-0.0693***
EL64_Central Greece	-0.277***	-0.193***	-0.534***	-0.0584***
EL65_Peloponnese	-0.310***	-0.219***	-0.553***	-0.0567**
ES11_Galicia	0.131***	0.149***	0.382***	-0.0613***
ES12_Principado de Asturias	0.185***	0.200***	0.445***	-0.0787***
ES13_Cantabria	0.124***	0.184***	0.409***	-0.122***
ES21_País Vasco	0.286***	0.188***	0.481***	-0.158***
ES22_Comunidad Foral de Navarra	0.241***	0.250***	0.553***	-0.134***
ES23_La Rioja	0.132***	0.171***	0.455***	-0.0921***
ES24_Aragón	0.298***	0.240***	0.558***	-0.0727***
ES30_Comunidad de Madrid	-0.0839***	-0.105***	0.149***	-0.184***
ES41_Castilla y León	0.124***	0.159***	0.447***	-0.0808***
ES42_Castilla-La Mancha	0.0951***	0.123***	0.431***	-0.0620***
ES43_Extremadura	0.0555***	0.171***	0.490***	-0.0448**
ES51_Cataluña	0.252***	0.260***	0.608***	-0.0482**
ES52_Comunitat Valenciana	0.266***	0.206***	0.545***	-0.0829***
ES53_Illes Balears	0.354***	0.277***	0.553***	-0.0834***
ES61_Andalucía	0.166***	0.177***	0.494***	-0.0523***
ES62_Región de Murcia	0.286***	0.219***	0.498***	-0.0861***
ES63_Ciudad de Ceuta	0.385***	0.239***	0.541***	-0.107***
ES64_Ciudad de Melilla	0.279***	0.205***	0.690***	-0.113**
ES70_Canarias	0.256***	0.197***	0.529***	-0.0948***
FI19_Länsi-Suomi	0.629***	0.431***	0.757***	0.171***
FI1B_Helsinki-Uusimaa	0.344***	0.216***	0.388***	0.0998***
FI1C_Etelä-Suomi	0.555***	0.469***	0.732***	0.157***
FI1D_Pohjois- ja Itä-Suomi	0.550***	0.385***	0.520***	0.170***
FI20_Åland	-0.134***	-0.148**	-0.793***	0.326***
FR10_Ile-de-France	-0.0251***	-0.0232**	-0.0824***	0.0345***
FRB0_Centre — Val de Loire	0.265***	0.144***	-0.00719	0.130***
FRC1_Bourgogne	0.0863***	0.110***	-0.126***	0.172***
FRC2_Franche-Comté	0.0798***	0.119***	-0.0873*	0.133***
FRD1_Basse-Normandie	0.194***	0.0464**	-0.190***	0.144***
FRD2_Haute-Normandie	0.201***	0.131***	-0.0322	0.161***
FRE1_Nord-Pas de Calais	0.215***	0.193***	0.0777***	0.140***
FRE2_Picardie	0.254***	0.106***	-0.102***	0.136***
FRF1_Alsace	0.261***	0.142***	-0.000428	0.156***
FRF2_Champagne-Ardenne	0.144***	0.0815***	-0.180***	0.145***
FRF3_Lorraine	0.205***	0.158***	0.0365	0.109***
FRG0_Pays de la Loire	0.274***	0.255***	0.209***	0.119***
