Probability of person working from home, at least some of the time
	(1)	(2)	(3)	(4)
	2018	2019	2020	2021
TWY: physical	0.167***	0.183***	0.311***	0.371***
AT10_Ostösterreich	0	0	0	0
AT20_Südösterreich	-0.0299***	-0.0310***	-0.0450***	-0.0667***
AT30_Westösterreich	-0.0386***	-0.0344***	-0.0581***	-0.0772***
BE10_Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest	0.00505	0.0225*	0.0668***	0.0917***
BE21_Prov. Antwerpen	-0.00903	0.0249*	0.000974	0.0609***
BE22_Prov. Limburg (BE)	-0.0387**	-0.0154	-0.0275*	-0.0128
BE23_Prov. Oost-Vlaanderen	-0.0114	-0.0220*	-0.00581	0.0738***
BE24_Prov. Vlaams-Brabant	-0.0174	0.0480***	0.0755***	0.113***
BE25_Prov. West-Vlaanderen	-0.00772	0.0252**	-0.0364***	0.0142
BE31_Prov. Brabant Wallon	0.0978***	0.103***	0.125***	0.131***
BE32_Prov. Hainaut	-0.0621***	-0.0873***	-0.0967***	-0.0290*
BE33_Prov. Liège	-0.0506***	-0.0482***	-0.0772***	-0.0329*
BE34_Prov. Luxembourg (BE)	-0.0427**	-0.0755***	-0.0427**	-0.0133
BE35_Prov. Namur	-0.0240	-0.00382	-0.00394	0.0560**
CY00_Cyprus	-0.218***	-0.214***	-0.249***	-0.206***
CZ01_Praha	-0.0986***	-0.106***	-0.132***	-0.110***
CZ02_Střední Čechy	-0.152***	-0.146***	-0.193***	-0.163***
CZ03_Jihozápad	-0.160***	-0.151***	-0.198***	-0.195***
CZ04_Severozápad	-0.156***	-0.135***	-0.202***	-0.196***
CZ05_Severovýchod	-0.129***	-0.110***	-0.174***	-0.168***
CZ06_Jihovýchod	-0.117***	-0.118***	-0.168***	-0.175***
CZ07_Střední Morava	-0.153***	-0.132***	-0.177***	-0.176***
CZ08_Moravskoslezsko	-0.120***	-0.146***	-0.193***	-0.202***
DE10_Baden-Württemberg	-0.109***	-0.102***	-0.105***	-0.0786***
DE20_Bayern	-0.106***	-0.103***	-0.111***	-0.0793***
DE30_Berlin	-0.0918***	-0.0912***	-0.0806***	-0.00698
DE40_Brandenburg	-0.147***	-0.141***	-0.196***	-0.146***
DE50_Bremen	-0.135***	-0.127***	-0.149***	-0.100***
DE60_Hamburg	-0.0878***	-0.0944***	-0.0699***	0.0285*
DE70_Hessen	-0.105***	-0.0904***	-0.0929***	-0.0630***
DE80_Mecklenburg-Vorpommern	-0.150***	-0.158***	-0.199***	-0.160***
DE90_Niedersachsen	-0.127***	-0.124***	-0.133***	-0.107***
DEA0_Nordrhein-Westfalen	-0.134***	-0.126***	-0.130***	-0.0939***
DEB0_Rheinland-Pfalz	-0.115***	-0.116***	-0.126***	-0.0984***
DEC0_Saarland	-0.143***	-0.143***	-0.145***	-0.126***
DED0_Sachsen	-0.150***	-0.144***	-0.197***	-0.149***
DEE0_Sachsen-Anhalt	-0.174***	-0.171***	-0.210***	-0.204***
DEF0_Schleswig-Holstein	-0.117***	-0.110***	-0.134***	-0.0888***
DEG0_Thüringen	-0.148***	-0.144***	-0.184***	-0.167***
DK01_Hovedstaden	0.0757***	0.0831***	0.0823***	0.0905***
DK02_Sjælland	0.0223***	0.0183**	-0.00349	0.00848
DK03_Syddanmark	0.0170***	0.0168***	-0.0207***	-0.0227***
DK04_Midtjylland	0.0199***	0.0346***	0.0101*	0.0136**
DK05_Nordjylland	0.00184	0.00544	-0.0312***	-0.0299***
EE00_Estonia	-0.0422***	-0.0423***	-0.0890***	-0.0666***
EL30_Attica	-0.181***	-0.181***	-0.190***	-0.135***
EL41_North Aegean	-0.200***	-0.205***	-0.238***	-0.214***
EL42_South Aegean	-0.176***	-0.179***	-0.191***	-0.0790*
EL43_Crete	-0.185***	-0.187***	-0.217***	-0.151***
EL51_Eastern Macedonia and Thrace	-0.181***	-0.186***	-0.228***	-0.193***
EL52_Central Macedonia	-0.137***	-0.140***	-0.186***	-0.156***
EL53_Western Macedonia	-0.207***	-0.204***	-0.216***	-0.235***
EL54_Epirus	-0.218***	-0.220***	-0.233***	-0.201***
EL61_Thessaly	-0.208***	-0.209***	-0.252***	-0.209***
EL62_Ionian Islands	-0.169***	-0.170***	-0.236***	-0.242***
EL63_Western Greece	-0.167***	-0.175***	-0.181***	-0.233***
EL64_Central Greece	-0.181***	-0.190***	-0.232***	-0.213***
EL65_Peloponnese	-0.195***	-0.193***	-0.238***	-0.193***
ES11_Galicia	-0.137***	-0.138***	-0.157***	-0.165***
ES12_Principado de Asturias	-0.159***	-0.122***	-0.136***	-0.166***
ES13_Cantabria	-0.153***	-0.153***	-0.213***	-0.201***
ES21_País Vasco	-0.164***	-0.160***	-0.196***	-0.229***
ES22_Comunidad Foral de Navarra	-0.151***	-0.160***	-0.180***	-0.203***
ES23_La Rioja	-0.142***	-0.159***	-0.162***	-0.188***
ES24_Aragón	-0.148***	-0.127***	-0.163***	-0.167***
ES30_Comunidad de Madrid	-0.165***	-0.163***	-0.0938***	-0.111***
ES41_Castilla y León	-0.149***	-0.136***	-0.181***	-0.170***
ES42_Castilla-La Mancha	-0.148***	-0.145***	-0.180***	-0.177***
ES43_Extremadura	-0.122***	-0.141***	-0.158***	-0.167***
ES51_Cataluña	-0.165***	-0.151***	-0.145***	-0.141***
ES52_Comunitat Valenciana	-0.141***	-0.139***	-0.174***	-0.180***
ES53_Illes Balears	-0.158***	-0.118***	-0.172***	-0.187***
ES61_Andalucía	-0.154***	-0.143***	-0.177***	-0.166***
ES62_Región de Murcia	-0.145***	-0.147***	-0.176***	-0.188***
ES63_Ciudad de Ceuta	-0.145***	-0.109***	-0.207***	-0.236***
ES64_Ciudad de Melilla	-0.166***	-0.149***	-0.145***	-0.171***
ES70_Canarias	-0.163***	-0.161***	-0.200***	-0.196***
FI19_Länsi-Suomi	0.0470***	0.0598***	0.0399***	0.0647***
FI1B_Helsinki-Uusimaa	0.142***	0.160***	0.159***	0.164***
FI1C_Etelä-Suomi	0.0431***	0.0456***	0.0352**	0.0449***
FI1D_Pohjois- ja Itä-Suomi	0.0169	0.0199*	0.00509	0.0437***
FI20_Åland	0.0378	0.0117	-0.111***	-0.00285
FR10_Ile-de-France	0.00404	0.0250***	0.0208*	0.0846***
FRB0_Centre — Val de Loire	-0.0561***	-0.0202	-0.0503**	-0.0372*
FRC1_Bourgogne	-0.0345*	-0.00413	-0.0645***	-0.0443**
FRC2_Franche-Comté	-0.0479**	-0.0346*	-0.0551*	-0.0312
FRD1_Basse-Normandie	-0.0447**	-0.0394*	-0.0471*	-0.0337
FRD2_Haute-Normandie	-0.0607***	-0.0209	-0.0328	-0.0248
FRE1_Nord-Pas de Calais	-0.0252*	-0.0319**	-0.0938***	-0.0119
FRE2_Picardie	-0.0632***	-0.0507***	-0.101***	-0.0607***
FRF1_Alsace	-0.0404**	-0.0323*	-0.0367*	-0.00305
FRF2_Champagne-Ardenne	-0.0428**	-0.0265	-0.102***	-0.0380*
FRF3_Lorraine	-0.0725***	-0.0363*	-0.0599***	-0.0714***
FRG0_Pays de la Loire	-0.0491***	-0.00808	-0.0541***	-0.0398***
FRH0_Bretagne	-0.0493***	-0.0144	-0.0556***	-0.00391
FRI1_Aquitaine	-0.0245*	-0.00652	-0.0160	-0.0268*
FRI2_Limousin	-0.0199	0.000959	-0.0672**	-0.0265
FRI3_Poitou-Charentes	-0.0568***	-0.0292*	-0.0588**	-0.00362
FRJ1_Languedoc-Roussillon	-0.0263	-0.00817	-0.0345	0.0241
FRJ2_Midi-Pyrénées	-0.00963	-0.00957	-0.0103	0.00863
FRK1_Auvergne	-0.0189	-0.0141	-0.0381	-0.0577**
FRK2_Rhône-Alpes	-0.0164	-0.00896	-0.0154	0.00304
FRL0_Provence-Alpes-Côte d'Azur	-0.00698	-0.00524	-0.0469***	-0.0177
FRM0_Corse	-0.110***	-0.0402	-0.0507	-0.122***
FRY1_Guadeloupe	-0.0863***	-0.0681***	-0.0965***	-0.103***
FRY2_Martinique	-0.0590**	-0.0931***	-0.0866***	-0.0940***
FRY3_Guyane	-0.0175	-0.0830***	-0.0596	-0.143***
FRY4_La Réunion	-0.0298*	-0.0384*	-0.0943***	-0.0796***
HR03_Jadranska Hrvatska	-0.163***	-0.166***	-0.209***	-0.194***
HR04_Kontinentalna Hrvatska (old)	-0.160***	-0.158***	-0.187***	
HU11_Budapest	-0.116***	-0.152***	-0.0890***	-0.0389***
HU12_Pest	-0.168***	-0.186***	-0.186***	-0.207***
HU21_Közép-Dunántúl	-0.186***	-0.198***	-0.224***	-0.199***
HU22_Nyugat-Dunántúl	-0.169***	-0.173***	-0.222***	-0.197***
HU23_Dél-Dunántúl	-0.154***	-0.192***	-0.219***	-0.214***
HU31_Észak-Magyarország	-0.180***	-0.185***	-0.217***	-0.182***
HU32_Észak-Alföld	-0.184***	-0.191***	-0.218***	-0.220***
HU33_Dél-Alföld	-0.180***	-0.187***	-0.225***	-0.219***
IE04_Northern and Western	-0.0440***	-0.0407***	-0.0412***	0.00975
IE05_Southern	-0.0355***	-0.0417***	-0.0261***	0.0197*
IE06_Eastern and Midland	-0.0383***	-0.0355***	0.0134**	0.0972***
ITC1_Piemonte	-0.181***	-0.183***	-0.171***	-0.171***
ITC2_Valle d'Aosta/Vallée d'Aoste	-0.193***	-0.191***	-0.194***	-0.210***
ITC3_Liguria	-0.182***	-0.177***	-0.157***	-0.166***
ITC4_Lombardia	-0.187***	-0.194***	-0.165***	-0.147***
ITF1_Abruzzo	-0.178***	-0.182***	-0.199***	-0.210***
ITF2_Molise	-0.194***	-0.198***	-0.209***	-0.207***
ITF3_Campania	-0.196***	-0.199***	-0.200***	-0.195***
ITF4_Puglia	-0.195***	-0.200***	-0.215***	-0.205***
ITF5_Basilicata	-0.184***	-0.196***	-0.195***	-0.202***
ITF6_Calabria	-0.193***	-0.199***	-0.217***	-0.209***
ITG1_Sicilia	-0.197***	-0.205***	-0.215***	-0.213***
ITG2_Sardegna	-0.188***	-0.189***	-0.182***	-0.173***
ITH1_Provincia Autonoma di Bolzano/Bozen	-0.170***	-0.168***	-0.182***	-0.177***
ITH2_Provincia Autonoma di Trento	-0.181***	-0.186***	-0.167***	-0.185***
ITH3_Veneto	-0.180***	-0.182***	-0.196***	-0.187***
ITH4_Friuli-Venezia Giulia	-0.164***	-0.171***	-0.177***	-0.178***
ITH5_Emilia-Romagna	-0.181***	-0.185***	-0.164***	-0.165***
ITI1_Toscana	-0.180***	-0.184***	-0.175***	-0.180***
ITI2_Umbria	-0.182***	-0.188***	-0.203***	-0.193***
ITI3_Marche	-0.192***	-0.189***	-0.207***	-0.191***
ITI4_Lazio	-0.186***	-0.194***	-0.150***	-0.114***
LT01_Sostinės regionas	-0.191***	-0.202***	-0.225***	-0.145***
LT02_Vidurio ir vakarų Lietuvos regionas	-0.186***	-0.189***	-0.246***	-0.211***
LU00_Luxembourg	0.0363***	0.0510***	0.0905***	0.0471***
LV00_Latvia	-0.187***	-0.190***	-0.262***	-0.200***
NL00_The Netherlands	0.108***	0.116***	0.0528***	0.178***
PL21_Małopolskie	-0.0699***	-0.0791***	-0.116***	-0.162***
PL22_Śląskie	-0.110***	-0.0997***	-0.152***	-0.183***
PL41_Wielkopolskie	-0.0808***	-0.0865***	-0.131***	-0.157***
PL42_Zachodniopomorskie	-0.121***	-0.129***	-0.168***	-0.193***
PL43_Lubuskie	-0.137***	-0.149***	-0.192***	-0.228***
PL51_Dolnośląskie	-0.101***	-0.0772***	-0.114***	-0.132***
PL52_Opolskie	-0.183***	-0.182***	-0.217***	-0.234***
PL61_Kujawsko-pomorskie	-0.0616***	-0.0634***	-0.101***	-0.126***
PL62_Warmińsko-mazurskie	-0.121***	-0.104***	-0.145***	-0.181***
PL63_Pomorskie	-0.0517***	-0.0548***	-0.110***	-0.134***
PL71_Łódzkie	-0.138***	-0.139***	-0.138***	-0.148***
PL72_Świętokrzyskie	-0.172***	-0.178***	-0.218***	-0.235***
PL81_Lubelskie	-0.106***	-0.0907***	-0.127***	-0.153***
PL82_Podkarpackie	-0.0922***	-0.111***	-0.160***	-0.201***
PL84_Podlaskie	-0.0762***	-0.0840***	-0.138***	-0.185***
PL91_Warszawski stołeczny	-0.00754	-0.0114	-0.0263***	-0.0838***
PL92_Mazowiecki regionalny	-0.110***	-0.115***	-0.165***	-0.185***
PT11_Norte	-0.0992***	-0.0934***	-0.118***	-0.0993***
PT15_Algarve	-0.0981***	-0.0930***	-0.137***	-0.123***
PT16_Centro (PT)	-0.0804***	-0.0740***	-0.110***	-0.108***
PT17_Área Metropolitana de Lisboa	-0.0538***	-0.0450***	-0.0127*	0.0316*
PT18_Alentejo	-0.109***	-0.112***	-0.133***	-0.135***
PT20_Região Autónoma dos Açores	-0.122***	-0.128***	-0.167***	-0.173***
PT30_Região Autónoma da Madeira	-0.0916***	-0.0880***	-0.137***	-0.146***
RO11_Nord-Vest	-0.203***	-0.201***	-0.246***	-0.219***
RO12_Centru	-0.208***	-0.192***	-0.246***	-0.218***
RO21_Nord-Est	-0.195***	-0.192***	-0.234***	-0.213***
RO22_Sud-Est	-0.199***	-0.195***	-0.237***	-0.209***
RO31_Sud-Muntenia	-0.199***	-0.194***	-0.239***	-0.225***
RO32_Bucureşti-Ilfov	-0.236***	-0.234***	-0.257***	-0.172***
RO41_Sud-Vest Oltenia	-0.193***	-0.183***	-0.248***	-0.231***
RO42_Vest	-0.194***	-0.195***	-0.243***	-0.208***
SE11_Stockholm	0.186***	0.218***	0.0513***	0.198***
SE12_Östra Mellansverige	0.0805***	0.0972***	-0.0193***	0.0953***
SE21_Småland med öarna	0.0665***	0.0744***	-0.0585***	0.0541***
SE22_Sydsverige	0.114***	0.131***	-0.00546	0.105***
SE23_Västsverige	0.0931***	0.113***	-0.00771	0.105***
SE31_Norra Mellansverige	0.0547***	0.0630***	-0.0470***	0.0510***
SE32_Mellersta Norrland	0.0520***	0.0898***	-0.0215**	0.0704***
SE33_Övre Norrland	0.0343***	0.0493***	-0.0528***	0.0694***
SK01_Bratislavský kraj	-0.0563***	-0.0606***	-0.138***	-0.145***
SK02_Západné Slovensko	-0.139***	-0.132***	-0.187***	-0.161***
SK03_Stredné Slovensko	-0.114***	-0.124***	-0.176***	-0.150***
SK04_Východné Slovensko	-0.171***	-0.165***	-0.205***	-0.165***
HR02_Panonska Hrvatska				-0.205***
HR05_Grad Zagreb				-0.0527***
HR06_Sjeverna Hrvatska				-0.210***
Constant	0.174***	0.172***	0.204***	0.186***
Region FE	Yes	Yes	Yes	Yes
N	1477077	1418679	1157673	1031164
Adjusted R-squared	0.115	0.126	0.170	0.228
