	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.296	0.333*	0.695***	0.980***	0.726***
(mean) socialinteraction	1.846***	1.949***	1.381***	1.577**	1.373***
Constant	-0.893***	-0.952***	-0.749***	-0.930***	-0.776***
R-squared	0.401	0.409	0.624	0.658	0.494
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.290	0.304	0.565***	0.847***	0.671***
(mean) socialinteraction	1.564**	1.753***	1.003**	1.429**	1.026***
(mean) female	0.736***	0.672***	0.406**	0.344*	0.459***
(mean) agecont	-0.0366***	-0.0434***	-0.0325***	-0.0431***	-0.0292***
(mean) lowed	0.144	0.182*	0.190**	0.208	0.135*
(mean) highed	-0.0992	-0.0812	0.0657	-0.0704	0.0536
(mean) nonnat	-0.126	-0.169	-0.0227	0.000180	-0.129
Constant	0.501	0.725*	0.651**	0.884*	0.434*
R-squared	0.618	0.653	0.765	0.782	0.602
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.228*	0.193	0.502***	0.761***	0.592***
(mean) socialinteraction	0.376	0.541	0.195	0.0956	-0.228
(mean) female	0.995***	0.904***	0.748***	0.529**	0.568***
(mean) agecont	-0.0317***	-0.0370***	-0.0283***	-0.0354***	-0.0214***
(mean) lowed	0.0221	0.0419	0.0569	0.118	0.0309
(mean) highed	0.0789	0.104	0.139	0.183*	0.273***
(mean) nonnat	-0.157*	-0.166	0.00162	-0.114	-0.192**
(mean) pt	0.374***	0.369***	0.251***	0.480***	0.394***
(mean) self	0.318***	0.307**	0.316***	0.336***	0.190*
(mean) temporary	0.0487	0.0537	0.0644	-0.0930	0.00152
Constant	0.632**	0.833***	0.639***	0.982***	0.558**
R-squared	0.721	0.737	0.813	0.836	0.663
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.522***	0.470***	0.775***	0.940***	0.899***
(mean) socialinteraction	0.155	0.366	0.0272	0.135	-0.333
(mean) female	0.715***	0.693***	0.586**	0.304	0.297*
(mean) agecont	-0.0321***	-0.0380***	-0.0297***	-0.0337***	-0.0223***
(mean) lowed	0.110	0.128	0.146*	0.158*	0.128**
(mean) highed	0.168*	0.166*	0.186**	0.179*	0.330***
(mean) nonnat	-0.160*	-0.156	0.000201	-0.0991	-0.185**
(mean) pt	0.360***	0.337***	0.223***	0.440***	0.354***
(mean) self	0.244**	0.243*	0.267***	0.269**	0.115
(mean) temporary	0.0408	0.0681	0.0739	-0.0400	0.0228
(mean) city	-0.0447	-0.0439	-0.0440	-0.00496	-0.0520*
(mean) rural	0.121***	0.115***	0.116***	0.0957*	0.131***
Constant	0.735***	0.919***	0.720***	0.906***	0.620***
R-squared	0.757	0.769	0.847	0.844	0.695
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.412***	0.509***	0.770***	0.871***	1.001***
(mean) socialinteraction	-0.450*	-0.565*	-0.774***	-0.896***	-1.574***
(mean) female	0.0260	-0.0638	-0.0759	-0.0402	-0.315*
(mean) agecont	-0.00254	-0.00138	-0.00286	-0.00860*	0.0158***
(mean) lowed	0.0589	0.00480	-0.103	-0.0228	0.0278
(mean) highed	0.167*	0.0704	0.0956	0.0678	0.232
(mean) nonnat	0.0340	0.0476	0.183***	0.0876	0.0207
(mean) pt	0.123*	0.0555	0.234**	0.150	-0.0990
(mean) self	0.231**	0.245**	0.213***	0.305***	0.0820
(mean) temporary	0.136	0.0822	0.0766	0.00884	0.220
(mean) city	-0.0316**	-0.0267	-0.0196	0.0263	-0.0405
(mean) rural	-0.0148	-0.0118	0.0139	-0.00312	0.00193
AT	0	0	0	0	0
BE	-0.0298*	-0.00927	0.00327	0.0584**	-0.0426*
CY	-0.214***	-0.211***	-0.216***	-0.183***	-0.274***
CZ	-0.0727**	-0.0992***	-0.0771**	-0.0856*	-0.183***
DE	-0.0883***	-0.0888***	-0.0797***	-0.0263	-0.112***
DK	0.0663***	0.0758***	0.0933***	0.0960***	0.0447*
EE	0.00656	-0.00503	-0.00514	0.0136	-0.0863**
EL	-0.161***	-0.171***	-0.103***	-0.0867**	-0.198***
ES	-0.160***	-0.133***	-0.0755**	-0.0871**	-0.213***
FI	0.0938***	0.112***	0.155***	0.172***	0.0774*
FR	-0.00858	0.0142	0.0276	0.0423*	-0.0377
HR	-0.104***	-0.118***	-0.0780**	-0.0542	-0.161**
HU	-0.0895***	-0.129***	-0.0602**	-0.0722*	-0.180***
IE	-0.0301*	-0.0241	0.0173	0.0895***	-0.0153
IT	-0.171***	-0.189***	-0.108***	-0.107***	-0.245***
LT	-0.131***	-0.150***	-0.141***	-0.109***	-0.240***
LU	-0.0134	-0.0115	-0.0198	-0.0359	-0.106*
LV	-0.125***	-0.146***	-0.168***	-0.116***	-0.239***
NL	0.0658***	0.0953***	0.0160	0.155***	0.113
PL	-0.0633**	-0.0744**	-0.0375	-0.0817*	-0.145*
PT	-0.0587*	-0.0464	0.0445	0.0332	-0.113
RO	-0.114***	-0.138***	-0.0805**	-0.0682*	-0.164***
SE	0.115***	0.142***	0.0286*	0.168***	0.0620**
SK	-0.0545*	-0.0801**	-0.0539*	-0.0475	-0.127*
Constant	0.253*	0.329*	0.388***	0.653***	0.0889
R-squared	0.972	0.971	0.972	0.979	0.852
Observations	191	191	191	193	766
