	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.125*	0.125	0.438***	0.553***	0.418***
(mean) socialinteraction	0.707***	0.759***	0.418*	0.863***	0.457**
Constant	-0.338***	-0.361***	-0.262***	-0.520***	-0.293***
R-squared	0.403	0.401	0.663	0.699	0.464
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.137	0.129	0.360***	0.416***	0.377***
(mean) socialinteraction	0.626**	0.689***	0.265	0.741***	0.297
(mean) female	0.325***	0.327***	0.182**	0.131	0.181**
(mean) agecont	-0.0147**	-0.0171***	-0.0119***	-0.0179***	-0.00898**
(mean) lowed	0.0814	0.0996*	0.109***	0.0363	0.0546
(mean) highed	-0.0632	-0.0575	0.0287	-0.0380	0.0363
(mean) nonnat	-0.0555	-0.0709	0.0401	0.156**	-0.0181
Constant	0.190	0.266	0.241*	0.294	0.0851
R-squared	0.607	0.636	0.750	0.793	0.509
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.107**	0.0761	0.331***	0.370***	0.334***
(mean) socialinteraction	0.0307	0.0735	-0.0430	0.196	-0.306
(mean) female	0.429***	0.425***	0.332***	0.158	0.176*
(mean) agecont	-0.0120***	-0.0137***	-0.0105***	-0.0147***	-0.00497*
(mean) lowed	0.0249	0.0307	0.0590	0.0347	0.0237
(mean) highed	0.0305	0.0385	0.0577	0.0968	0.161***
(mean) nonnat	-0.0752**	-0.0726*	0.0520	0.0837	-0.0640
(mean) pt	0.186***	0.185***	0.0997**	0.214***	0.195***
(mean) self	0.139***	0.138***	0.138**	0.0910	0.0423
(mean) temporary	0.0199	0.0296	0.00963	-0.107	-0.0344
Constant	0.260***	0.322***	0.234*	0.355**	0.162
R-squared	0.764	0.772	0.781	0.824	0.562
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.212***	0.171***	0.451***	0.469***	0.481***
(mean) socialinteraction	-0.0553	0.00810	-0.125	0.221	-0.361*
(mean) female	0.324***	0.348***	0.253**	0.0413	0.0428
(mean) agecont	-0.0120***	-0.0139***	-0.0110***	-0.0139***	-0.00525**
(mean) lowed	0.0566**	0.0602*	0.0998***	0.0549	0.0705**
(mean) highed	0.0611	0.0582	0.0758*	0.0963*	0.187***
(mean) nonnat	-0.0756**	-0.0686*	0.0529	0.0912	-0.0597
(mean) pt	0.184***	0.176***	0.0913**	0.189***	0.177***
(mean) self	0.109***	0.114**	0.113**	0.0550	0.00423
(mean) temporary	0.0167	0.0348	0.0137	-0.0761	-0.0245
(mean) city	-0.0110	-0.0106	-0.00966	-0.00927	-0.0200
(mean) rural	0.0481***	0.0436***	0.0621***	0.0453*	0.0673***
Constant	0.295***	0.350***	0.264**	0.320*	0.189
R-squared	0.793	0.797	0.808	0.831	0.591
Observations	191	191	191	193	766
	(1)	(2)	(3)	(4)	(5)
(mean) physicalinteraction	0.412***	0.509***	0.770***	0.871***	0.606***
(mean) socialinteraction	-0.450*	-0.565*	-0.774***	-0.896***	-0.998***
(mean) female	0.0260	-0.0638	-0.0759	-0.0402	-0.273**
(mean) agecont	-0.00254	-0.00138	-0.00286	-0.00860*	0.0124***
(mean) lowed	0.0589	0.00480	-0.103	-0.0228	0.0326
(mean) highed	0.167*	0.0704	0.0956	0.0678	0.115
(mean) nonnat	0.0340	0.0476	0.183***	0.0876	0.0200
(mean) pt	0.123*	0.0555	0.234**	0.150	-0.0381
(mean) self	0.231**	0.245**	0.213***	0.305***	-0.0261
(mean) temporary	0.136	0.0822	0.0766	0.00884	0.0481
(mean) city	-0.0316**	-0.0267	-0.0196	0.0263	-0.0173
(mean) rural	-0.0148	-0.0118	0.0139	-0.00312	0.0153
AT	0	0	0	0	0
BE	-0.0298*	-0.00927	0.00327	0.0584**	-0.0314
CY	-0.214***	-0.211***	-0.216***	-0.183***	-0.138***
CZ	-0.0727**	-0.0992***	-0.0771**	-0.0856*	-0.103**
DE	-0.0883***	-0.0888***	-0.0797***	-0.0263	-0.0601***
DK	0.0663***	0.0758***	0.0933***	0.0960***	0.000317
EE	0.00656	-0.00503	-0.00514	0.0136	-0.0615**
EL	-0.161***	-0.171***	-0.103***	-0.0867**	-0.0981**
ES	-0.160***	-0.133***	-0.0755**	-0.0871**	-0.0983**
FI	0.0938***	0.112***	0.155***	0.172***	0.0520*
FR	-0.00858	0.0142	0.0276	0.0423*	-0.0274
HR	-0.104***	-0.118***	-0.0780**	-0.0542	-0.0873*
HU	-0.0895***	-0.129***	-0.0602**	-0.0722*	-0.105***
IE	-0.0301*	-0.0241	0.0173	0.0895***	0.00562
IT	-0.171***	-0.189***	-0.108***	-0.107***	-0.129***
LT	-0.131***	-0.150***	-0.141***	-0.109***	-0.128***
LU	-0.0134	-0.0115	-0.0198	-0.0359	-0.0854*
LV	-0.125***	-0.146***	-0.168***	-0.116***	-0.125***
NL	0.0658***	0.0953***	0.0160	0.155***	0.0413
PL	-0.0633**	-0.0744**	-0.0375	-0.0817*	-0.0730*
PT	-0.0587*	-0.0464	0.0445	0.0332	-0.0605
RO	-0.114***	-0.138***	-0.0805**	-0.0682*	-0.0882**
SE	0.115***	0.142***	0.0286*	0.168***	-0.00907
SK	-0.0545*	-0.0801**	-0.0539*	-0.0475	-0.0674*
Constant	0.253*	0.329*	0.388***	0.653***	-0.0196
R-squared	0.972	0.971	0.972	0.979	0.710
Observations	191	191	191	193	766
