	(1)	(2)	(3)	(4)	(5)
	(mean) homework_any	(mean) homework_any	(mean) homework_any	(mean) homework_any	(mean) homework_any
(mean) physicalinteraction	0.474***	0.502***	0.471***	0.396***	
(mean) socialinteraction	-0.544**	-0.537**	-0.665***	0.00572	
YEAR=2018	0	0	0	0	0
YEAR=2019	-0.0512	-0.0574	-0.0530	-0.0479	0.0103**
YEAR=2020	0.200*	0.215*	0.203*	0.205*	0.0741***
YEAR=2021	-0.172	-0.135	-0.0986	-0.0633	0.105***
YEAR=2018 # (mean) physicalinteraction	0	0	0	0	
YEAR=2019 # (mean) physicalinteraction	0.0133	0.00650	-0.00928	-0.00527	
YEAR=2020 # (mean) physicalinteraction	0.403***	0.401***	0.382***	0.376***	
YEAR=2021 # (mean) physicalinteraction	0.501***	0.501***	0.484***	0.504***	
YEAR=2018 # (mean) socialinteraction	0	0	0	0	
YEAR=2019 # (mean) socialinteraction	0.109	0.130	0.131	0.118	
YEAR=2020 # (mean) socialinteraction	-0.574*	-0.597**	-0.554**	-0.551**	
YEAR=2021 # (mean) socialinteraction	0.143	0.0748	0.0173	-0.0631	
(mean) city		-0.00324	-0.0204	-0.00868	-0.00456
(mean) rural		0.00532	-0.00207	0.00919	0.00478
(mean) capital=0		0	0	0	0
(mean) capital=1		-0.000309	-0.00213	0.00660	0.00383
(mean) broadband_shh		-0.000488	-0.0000423	-0.0000562	-0.000851
(mean) work_other_region		-0.0700***	-0.0299	-0.00196	0.0240
(mean) female			0.00807	-0.0872	0.0773
(mean) lowed			-0.0465	-0.0533	0.0421
(mean) highed			0.102	-0.0276	0.155*
(mean) pt			0.0303	0.0631	0.0877
(mean) self			0.236***	0.307***	0.264**
(mean) temporary			0.265***	0.339***	0.339***
(mean) nonnat			0.0822**	0.0720*	0.117**
(mean) agecont			-0.00404*	-0.00218	-0.00350
(mean) agric				0.0230	0.0648
(mean) manuf				0.223***	0.282***
(mean) privservadv				0.228*	0.761***
(mean) publserv				0.0411	0.162
Constant	0.308***	0.338***	0.441***	0.0272	0.00498
R-squared	0.953	0.954	0.961	0.963	0.938
Observations	766	766	766	766	766
