
	(1)	(2)	(3)

Constant	0.204***	0.0736***	0.434***
	(0.0121)	(0.0155)	(0.0848)

YEAR=2019	0.00873	-0.00718	-0.00196
	(0.00484)	(0.0167)	(0.0169)

YEAR=2020	0.0712***	-0.0401*	-0.0399*
	(0.00664)	(0.0188)	(0.0158)

YEAR=2021	0.105***	-0.115***	-0.0901***
	(0.00765)	(0.0173)	(0.0166)

YEAR=2022	0.0882***	-0.121***	-0.0820***
	(0.00775)	(0.0208)	(0.0222)

(mean) physicalinteraction		0.351***	0.342***
		(0.0409)	(0.0659)

YEAR=2019 # (mean) physicalinteraction		0.0420	0.0314
		(0.0487)	(0.0492)

YEAR=2020 # (mean) physicalinteraction		0.277***	0.300***
		(0.0566)	(0.0455)

YEAR=2021 # (mean) physicalinteraction		0.544***	0.497***
		(0.0487)	(0.0460)

YEAR=2022 # (mean) physicalinteraction		0.523***	0.441***
		(0.0593)	(0.0576)

(mean) cities			-0.0182
			(0.0106)

(mean) capital=1			0.0126
			(0.00669)

(mean) internet_speed			-0.0000502
			(0.0000645)

(mean) work_other_region			-0.0369
			(0.0189)

(mean) work_other_country			-0.0865
			(0.0495)

(mean) agecont			-0.0106***
			(0.00189)

(mean) female			-0.0705
			(0.0725)

(mean) highed			0.0731
			(0.0411)

(mean) pt			0.172**
			(0.0531)

(mean) self			0.256***
			(0.0382)

(mean) temporary			0.0954
			(0.0488)

R-squared	0.816	0.947	0.947
Observations	965	965	885

Standard errors in parentheses
* p<0.05, ** p<0.01, *** p<0.001
